Chinese	Pinyin	POS	Thai
岸	àn	n	ฝั่ง
昂贵	ángguì	adj	ราคาแพง
案例	ànlì	n	กรณี
按摩	ànmó	v	นวด
暗示	ànshì	v	คำใบ้
败	bài	v	ความพ่ายแพ้
摆	bǎi	v	ลูกตุ้ม
白白	báibái	adv	เปล่าประโยชน์
拜访	bàifǎng	v	เยี่ยมชม
摆放	bǎifàng	v	สถานที่
百分点	bǎifēndiǎn	n	คะแนนเปอร์เซ็นต์
百货	bǎihuò	n	ห้างสรรพสินค้า
白领	báilǐng	n	ปกขาว
拜年	bàinián	v	คำอวยพรปีใหม่
摆脱	bǎituō	v	หลุดพ้น
版	bǎn	n/mw	รุ่น
版本	bǎnběn	n	เวอร์ชัน
棒球	bàngqiú	n	เบสบอล
榜样	bǎngyàng	n	แบบอย่าง
伴随	bànsuí	v	มาพร้อมกับ
扮演	bànyǎn	v	เล่น
爆	bào	v	ระเบิด
爆发	bàofā	v	แตกออก
保管	bǎoguǎn	v	การเก็บรักษา
保健	bǎojiàn	v	การดูแลสุขภาพ
报刊	bàokān	n	หนังสือพิมพ์
暴力	bàolì	n	ความรุนแรง
暴露	bàolù	v	สัมผัส
保暖	bǎonuǎn	v	ให้ความอบอุ่น
报社	bàoshè	n	หน่วยงานหนังสือพิมพ์
保修	bǎoxiū	v	การรับประกัน
爆炸	bàozhà	v	การระเบิด
保障	bǎozhàng	v/n	รับประกัน
被动	bèidòng	adj	ถูกกระทำ, ฝ่ายรับ
悲观	bēiguān	adj	ในแง่ร้าย
北极	běijí	n	ขั้วโลกเหนือ
悲剧	bēijù	n	โศกนาฏกรรม
北美洲	Běiměizhōu	n	ทวีปอเมริกาเหนือ
被迫	bèipò	v	ถูกบังคับ
悲伤	bēishāng	adj	เศร้า
背心	bèixīn	n	เสื้อกั๊ก
备用	bèiyòng	v	สำรอง
倍增	bèizēng	v	ทวีคูณ
本能	běnnéng	n/adv	สัญชาตญาณ
奔跑	bēnpǎo	v	วิ่ง
本身	běnshēn	pron	ตัวมันเอง
本土	běntǔ	n	ท้องถิ่น
闭	bì	v	ปิด
避	bì	v	หลีกเลี่ยง
逼	bī	v	บังคับ
编	biān	v	รวบรวม
遍地	biàndì	v/adv	ทุกที่
编辑	biānjí	v/n	แก้ไข
便捷	biànjié	adj	สะดวก
编写	biānxiě	v	เขียน
变质	biànzhì	v	นิสัยเสีย
比方	bǐfang	v	ตัวอย่างเช่น
兵	bīng	n	ทหาร
病毒	bìngdú	n	ไวรัส
必修	bìxiū	adj	จำเป็น
比重	bǐzhòng	n	สัดส่วน
播	bō	v	ออกอากาศ
博览会	bólǎnhuì	n	งานแสดงสินค้า
薄弱	bóruò	adj	อ่อนแอ
播种	bōzhǒng	v	หว่าน
脖子	bózi	n	คอ
布	bù	n	ผ้า
补	bǔ	v	อาหารเสริม
捕	bǔ	v	จับ
不耐烦	bú nàifán	—	ใจร้อน
不安	bù’ān	adj	ไม่สบายใจ
不曾	bùcéng	adv	ไม่เคย
补偿	bǔcháng	v	ค่าชดเชย
不成	bùchéng	v/adj/part	ไม่มีทาง
不得	bùdé	v	ไม่อนุญาต
部队	bùduì	n	กองกำลัง
不顾	búgù	v	ไม่ว่า
不禁	bùjīn	adv	ช่วยไม่ได้แต่
补课	bǔkè	v	สร้างบทเรียน
不料	búliào	conj	โดยไม่คาดคิด
