# HSK 1 sentence stories. Max 8 sentences per card.
# Target: 300/300 unique HSK1 words.
# @title Chinese|Thai · sentence lines Chinese|Thai

@level 1
@card
@title 喝茶的下午|ตอนบ่ายกับชา
今天天气很好。|วันนี้อากาศดีมาก
他是我的朋友。|เขาเป็นเพื่อนของฉัน
他喜欢喝茶。|เขาชอบดื่มชา
妈妈说：“来坐。”|แม่ฉันพูด “มานั่งสิ”
妈妈说：“请喝茶”。|แม่ฉันพูด “เชิญดื่มชา”
我们一起说话。|พวกเราคุยกัน
下午很高兴。|บ่ายนี้มีความสุขมาก
@card
@title 认识新朋友|รู้จักเพื่อนใหม่
你叫什么名字？|คุณชื่ออะไร
我叫小明。|ฉันชื่อเสี่ยวหมิง
认识你很高兴。|ดีใจที่ได้รู้จักคุณ
你好吗？|คุณสบายดีไหม
我很好。|ฉันสบายดี
谢谢你。|ขอบคุณนะ
我们是好朋友。|พวกเราเป็นเพื่อนสนิทกัน
再见！|ลาก่อน!
@card
@title 家里的一天|วันหนึ่งในบ้านเรา
妈妈在家做饭。|แม่ทำอาหารอยู่บ้าน
爸爸喝茶。|พ่อดื่มชา
弟弟看书。|น้องชายอ่านหนังสือ
妹妹看电视。|น้องสาวดูทีวี
我喜欢在家。|ฉันชอบอยู่บ้าน
我们都很高兴。|พวกเราทุกคน(มีความสุขมาก/ดีใจ)
晚上我们一起吃饭。|ตอนเย็นพวกเรากินข้าวด้วยกัน
今天很开心。|วันนี้มีความสุขมาก
@card
@title 在学校|ที่โรงเรียน
学校不大。|โรงเรียนไม่ใหญ่นักนัก
老师说汉语。|ครูพูดภาษาจีน
学生很多。|มีมีนักเรียนเยอะมาก
我爱学习。|ฉันชอบเรียน
汉语很好听。|ภาษาจีนฟังเพราะมาก
我很喜欢学校。|ฉันชอบโรงเรียนมาก
下课了，我们回家。|เลิกเรียนแล้ว พวกเรากลับบ้านกันกัน
明天见！|เจอกันพรุ่งนี้!
@card
@title 吃饭时间|เวลารับประทานอาหาร
我想吃米饭。|ฉันอยากกินข้าวสวย
你想喝什么？|คุณอยากดื่มอะไร
水还是牛奶？|น้ำหรือนม
苹果很好吃。|แอปเปิลอร่อยมาก
我喜欢吃饺子。|ฉันชอบกินเกี๊ยว
米饭也很好。|ข้าวสวยก็ดีเหมือนกัน
吃完了很高兴。|กินเสร็จดีใจมาก
谢谢！|ขอบคุณ!
@card
@title 去商店|แวะไปร้านค้า
明天我去商店。|พรุ่งนี้ฉันจะไปร้าน
商店里有很多东西。|ในร้านมีของเยอะมาก
东西不贵。|ของไม่แพง
这是我的电脑。|นี่คือคอมพิวเตอร์ของฉัน
那是他的手机。|นั่นคือมือถือของเขา
这些都很好看。|พวกนี้ล้วนสวยมาก
我买了东西。|ฉันซื้อของแล้ว
回家吧。|กลับบ้านกันเถอะ
@card
@title 早上起床|เช้านี้ตื่นนอน
我早上六点起床。|ฉันตื่นนอนหกโมงเช้า
我先吃早饭。|ฉันกินข้าวเช้าก่อน
八点我去上学。|แปดโมงฉันไปโรงเรียน
上午有四节课。|ตอนเช้ามีสี่คาบ
