# HSK 3 sentence stories. Max 8 sentences per card.
# Target: 500/500 unique HSK3 words (HSK1–3 vocab only).
# @title Chinese|Thai · sentence lines Chinese|Thai

@level 3
@card
@title 周末去公园|สุดสัปดาห์ที่สวนสาธารณะ
周末我想去公园。|วันหยุดสุดสัปดาห์ฉันอยากไปสวน
公园里人很多。|ในสวนมีคนมาก
我们一边走路一边说话。|พวกเราเดินไปคุยไป
太阳很大，草地上有花。|แดดแรง บนทุ่งหญ้ามีดอกไม้
树旁边有花。|ข้างต้นไม้มีดอกไม้
我们玩得很开心。|พวกเราเล่นอย่างมีความสุข
过节的时候公园人更多。|ตอนเทศกาลสวนคนมากขึ้น
周末真好。|สุดสัปดาห์ดีจริง
@card
@title 搬家以后|ชีวิตหลังย้ายบ้าน
搬家以后，我家离地铁站很近。|ย้ายบ้านแล้วบ้านใกล้สถานีรถไฟใต้ดิน
每天上班很方便。|ไปทำงานทุกวันสะดวกมาก
也不用担心迟到。|ก็ไม่ต้องกังวลเรื่องสาย
新房子又干净又安静。|บ้านใหม่ทั้งสะอาดทั้งเงียบ
邻居很热情。|เพื่อนบ้านเป็นมิตรมาก
小区环境很好。|สภาพแวดล้อมของหมู่บ้านดีมาก
我终于放心了。|ฉันวางใจได้ในที่สุด
生活方便多了。|ชีวิตสะดวกขึ้นมาก
@card
@title 去饭馆吃饭|ออกไปกินร้านอาหาร
听说那家饭馆的菜特别好吃。|ได้ยินว่าร้านนั้นอาหารอร่อยเป็นพิเศษ
如果你愿意，我们就去。|ถ้าคุณเต็มใจ พวกเราก็ไป
冰箱里还有水果。|ในตู้เย็นยังมีผลไม้
大家先看看菜单。|ทุกคนดูเมนูก่อน
我点了啤酒和饮料。|ฉันสั่งเบียร์กับเครื่องดื่ม
菜又甜又好吃。|อาหารทั้งหวานทั้งอร่อย
我们都吃得很饱。|ทุกคนกินอิ่มมาก
下次还来做客。|คราวหน้ามาอีกนะ
@card
@title 夏天的计划|วางแผนสำหรับฤดูร้อน
今年夏天我们打算出去玩。|ฤดูร้อนปีนี้พวกเราวางแผนจะเที่ยว
先准备护照和行李。|เตรียมพาสปอร์ตกับกระเป๋าก่อน
然后复习一会儿汉语。|แล้วทบทวนภาษาจีนสักครู่
如果有机会，我想留学。|ถ้ามีโอกาส ฉันอยากไปเรียนต่อ
先把简单的句子学好。|เรียนประโยคง่ายๆ ให้เก่งก่อน
我相信自己会更好。|ฉันเชื่อว่าตัวเองจะดีขึ้น
放假以前一定准备好。|ก่อนปิดเทอมต้องเตรียมให้พร้อม
夏天会很开心。|ฤดูร้อนจะมีความสุขมาก
@card
@title 考试以后|หลังจากสอบเสร็จแล้ว
考试成绩出来了。|คะแนนสอบออกแล้ว
老师说我学得不错。|ครูบอกว่าฉันเรียนได้ไม่เลว
关于这个问题，我有简单的办法。|เกี่ยวกับเรื่องนี้ ฉันมีวิธีง่ายๆ
我们先决定怎么做。|พวกเราตัดสินใจก่อนว่าจะทำยังไง
其实我觉得问题很难。|จริงๆ แล้วฉันคิดว่าคำถามยาก
但是终于完成了。|แต่ในที่สุดก็ทำเสร็จ
后来我们一起聊天儿。|ต่อมาพวกเราคุยเล่นด้วยกัน
最近还要努力学习。|ช่วงนี้ยังต้องพยายามเรียน
@card
@title 北方和南方|ภาคเหนือกับภาคใต้
北方冬天又干又冷。|ภาคเหนือหน้าหนาวทั้งแห้งทั้งหนาว
南方夏天又热又长。|ภาคใต้หน้าร้อนทั้งร้อนทั้งยาว
春天和秋天比较凉快。|ฤดูใบไม้ผลิและฤดูใบไม้ร่วงเย็นสบายกว่า
四季的变化很有意思。|การเปลี่ยนแปลงของทั้งสี่ฤดูน่าสนใจมาก
东边是海，西边是山。|ตะวันออกคือทะเล ตะวันตกคือภูเขา
东北和西北也很不同。|ตะวันออกเฉียงเหนือกับตะวันตกเฉียงเหนือก็ต่างกัน
东南常下雨。|ตะวันออกเฉียงใต้ฝนตกบ่อย
西南有很多动物。|ตะวันตกเฉียงใต้มีสัตว์เยอะ
@card
@title 方向和地点|ทิศทางกับสถานที่
请看地图上的地点。|ดูสถานที่บนแผนที่หน่อย
往南走就到那个地方了。|เดินไปทางใต้ก็ถึงที่นั่น
市中间有一个路口。|กลางเมืองมีทางแยก
路边有红绿灯。|ข้างถนนมีไฟจราจร
过马路要小心。|ข้ามถนนต้องระวัง
马路上汽车很多。|บนถนนมีรถยนต์เยอะ
站在前面等一会儿。|ยืนรอข้างหน้าสักครู่
终于找到好方向。|ในที่สุดก็เจอทิศทางที่ดี
@card
@title 办公室里|ในห้องทำงาน
经理在办公室开会。|ผู้จัดการกำลังประชุมในห้องทำงาน
工作日大家都忙。|วันทำงานทุกคนยุ่ง
同事帮我解决问题。|เพื่อนร่วมงานช่วยแก้ปัญหา
刚才有客人来。|เมื่อกี้มีแขกมา
我马上回答邮件。|ฉันตอบอีเมลทันที
先开机，做完再关机。|เปิดเครื่องก่อน ทำเสร็จค่อยปิด
空调开着，屋子很舒服。|แอร์เปิดอยู่ ห้องสบายมาก
关系很重要。|ความสัมพันธ์สำคัญมาก
@card
@title 健康生活|ชีวิตสุขภาพดี
身体健康最重要。|สุขภาพดีสำคัญที่สุด
平时我常锻炼。|ปกติฉันออกกำลังกายบ่อย
突然感冒了，有点儿发烧。|เป็นหวัดกะทันหัน มีไข้หน่อย
必须多喝水，注意休息。|ต้องดื่มน้ำเยอะ ใส่ใจพักผ่อน
病人要住院。|ผู้ป่วยต้องนอนโรงพยาบาล
出院以后还要小心。|หลังออกจากโรงพยาบาลยังต้องระวัง
阿姨关心我的身体。|ป้าห่วงใยร่างกายของฉัน
现在我放心多了。|ตอนนี้ฉันวางใจขึ้นมาก
@card
@title 生日礼物|ของขวัญวันเกิด
我给朋友选了一件礼物。|ฉันเลือกของขวัญให้เพื่อนหนึ่งชิ้น
是黄色的裙子和一件衬衫。|เป็นกระโปรงสีเหลืองกับเสื้อเชิ้ต
还有一双新鞋。|และรองเท้าคู่ใหม่
他收到以后很开心。|เขาได้รับแล้วมีความสุขมาก
我们在花园里拍照。|พวกเราถ่ายรูปในสวนดอกไม้
照片很好看。|รูปถ่ายสวยมาก
后来一起吃蛋糕。|ต่อมากินเค้กด้วยกัน
过节送礼物真好。|เทศกาลให้ของขวัญดีจริง
@card
@title 图书馆学习|เรียนที่ห้องสมุด
下午我去图书馆借书。|บ่ายฉันไปห้องสมุดยืมหนังสือ
先查一下词典和字典。|เปิดพจนานุกรมดูก่อน
电子书也很方便。|หนังสืออิเล็กทรอนิกส์ก็สะดวก
这本笔记本记了很多笔记。|สมุดนี้จดบันทึกไว้มาก
数学题比较难。|โจทย์คณิตค่อนข้างยาก
我认真练习了一遍。|ฉันฝึกจริงจังหนึ่งรอบ
水平慢慢提高了。|ระดับค่อยๆ สูงขึ้น
离开以前把东西收好。|ก่อนออกไปเก็บของให้เรียบร้อย
@card
@title 运动比赛|การแข่งขันกีฬา
学校有运动会。|โรงเรียนมีการแข่งขันกีฬา
运动员在球场上跑步。|นักกีฬาวิ่งบนสนาม
我也参加羽毛球比赛。|ฉันก็เข้าร่วมแข่งแบดมินตัน
刚才得分了！|เมื่อกี้ได้คะแนน!
虽然累，可是很开心。|แม้เหนื่อย แต่มีความสุขมาก
体育课下周还有考试。|คาบพลศึกษาสัปดาห์หน้ายังมีสอบ
体育馆里人好多。|ในโรงยิมคนเยอะมาก
我们总是一起努力。|พวกเราพยายามด้วยกันเสมอ
@card
@title 城市旅行|ท่องเที่ยวในเมือง
这个城市又干净又有名。|เมืองนี้ทั้งสะอาดทั้งมีชื่อเสียง
到处都是游客。|ทั่วทุกที่มีนักท่องเที่ยว
文化历史都很好。|วัฒนธรรมกับประวัติศาสตร์ดีหมด
银行旁边有有名的宾馆。|ข้างธนาคารมีโรงแรมดัง
刷信用卡很方便。|รูดบัตรเครดิตสะดวกมาก
网站上可以看房间。|บนเว็บดูห้องได้
行李别丢了。|กระเป๋าอย่าทำหาย
旅游让生活更有意思。|การท่องเที่ยวทำให้ชีวิตน่าสนใจขึ้น
@card
@title 四季故事|เรื่องราวสี่ฤดู
春天草开花。|ฤดูใบไม้ผลิหญ้าออกดอก
夏天可以游泳、吃冰激凌。|หน้าร้อนว่ายน้ำ กินไอศกรีมได้
秋天树变成黄色。|ฤดูใบไม้ร่วงต้นไม้กลายเป็นสีเหลือง
冬天常刮风下雪。|หน้าหนาวลมพัดและหิมะตกบ่อย
